arm,n_train,n_distinct_records,repeat,threshold,test_fp,test_pct_mean
S1_resample,10,8,107,0.5843173323828511,0.0,0.6291666666666667
S1_resample,10,8,108,0.5404423847847973,0.4166666666666667,0.7000000000000001
S1_resample,10,8,109,0.5384047119737665,0.375,0.6833333333333335
S1_resample,10,7,110,0.6267280595403911,0.0,0.7125
S1_resample,10,8,111,0.5919995088217874,0.0,0.6458333333333334
S1_resample,10,6,112,0.5580026237922727,0.0,0.6208333333333333
S1_resample,10,9,113,0.5257264437638075,0.8333333333333334,0.9166666666666666
S1_resample,10,7,114,0.5237794132074571,0.875,0.9625
S1_resample,10,8,115,0.6050257731400821,0.041666666666666664,0.75
S1_resample,10,9,116,0.6062116577963388,0.0,0.7291666666666666
S1_resample,10,9,117,0.6041462763387286,0.041666666666666664,0.8166666666666668
S1_resample,10,8,118,0.6178821469473815,0.041666666666666664,0.7416666666666667
S1_resample,10,8,119,0.6142663772647654,0.041666666666666664,0.7708333333333334
S1_resample,10,8,120,0.5357061234125168,0.3333333333333333,0.6708333333333334
S1_resample,10,7,121,0.5954257536068176,0.0,0.6499999999999999
S1_resample,10,10,122,0.6012162892063886,0.0,0.6708333333333333
S1_resample,10,8,123,0.5746257177900358,0.0,0.5708333333333333
S1_resample,10,6,124,0.5731452485987438,0.0,0.625
S1_resample,10,7,125,0.5374786774224307,0.8333333333333334,0.8833333333333333
S1_resample,10,9,126,0.6088017022900329,0.041666666666666664,0.8208333333333334
S1_resample,10,9,127,0.5921713948725372,0.041666666666666664,0.6625
S1_resample,10,7,128,0.5426957584241283,0.0,0.6749999999999999
S1_resample,10,9,129,0.5808048713762679,0.0,0.7041666666666666
S1_resample,10,7,130,0.6169338758725543,0.041666666666666664,0.7416666666666667
S1_resample,10,7,131,0.5797836251481019,0.041666666666666664,0.6083333333333334
S1_resample,10,8,132,0.6071706488042061,0.041666666666666664,0.8125
S1_resample,10,7,133,0.6090723620105087,0.0,0.7041666666666666
S1_resample,10,9,134,0.5944657369898467,0.041666666666666664,0.8416666666666667
S1_resample,10,8,135,0.5821204523006243,0.041666666666666664,0.6458333333333334
S1_resample,10,8,136,0.6104215858307177,0.0,0.7458333333333335
S1_resample,10,8,137,0.6342734229520456,0.0,0.725
S1_resample,10,10,138,0.5840552403408629,0.0,0.6458333333333334
S1_resample,10,7,139,0.5813336062387124,0.041666666666666664,0.6625
S1_resample,10,10,140,0.5744440843510894,0.041666666666666664,0.6666666666666666
S1_resample,10,8,141,0.6156046790773956,0.0,0.7375000000000002
S1_resample,10,10,142,0.5870659659654465,0.08333333333333333,0.8208333333333334
S1_resample,10,8,143,0.6159360840598394,0.0,0.7666666666666667
S1_resample,10,9,144,0.6065981784197929,0.041666666666666664,0.8083333333333335
S1_resample,10,10,145,0.5780741333452287,0.0,0.5916666666666667
S1_resample,10,8,146,0.5911184735021623,0.0,0.6666666666666666
S1_resample,10,8,147,0.5970472498065821,0.0,0.6625
S1_resample,10,8,148,0.6230382957503192,0.0,0.7166666666666667
S1_resample,10,10,149,0.6014321194766263,0.041666666666666664,0.7250000000000001
S1_resample,20,13,0,0.711284844817515,0.0,0.8104166666666667
S1_resample,20,13,1,0.6627211569771867,0.08333333333333333,0.8333333333333334
S1_resample,20,11,2,0.7049887513377261,0.0,0.8187500000000001
S1_resample,20,14,3,0.6477207854541054,0.041666666666666664,0.7395833333333334
S1_resample,20,9,4,0.693905805204007,0.0,0.8041666666666667
S1_resample,20,14,5,0.7100910037100651,0.0,0.8041666666666667
S1_resample,20,16,6,0.6499948287591137,0.0,0.7333333333333334
S1_resample,20,15,7,0.6748373231186233,0.0,0.7291666666666666
S1_resample,20,13,8,0.5892926934509392,0.4166666666666667,0.7604166666666666
S1_resample,20,14,9,0.6016308837173759,0.3333333333333333,0.7333333333333334
S1_resample,20,14,10,0.6742646510330474,0.0,0.7604166666666666
S1_resample,20,13,11,0.6639348135768082,0.041666666666666664,0.7416666666666667
S1_resample,20,15,12,0.6858577974963571,0.041666666666666664,0.7687499999999999
S1_resample,20,14,13,0.5856555384702073,0.4166666666666667,0.7312500000000001
S1_resample,20,11,14,0.683784582202346,0.0,0.775
S1_resample,20,12,15,0.6603355942661201,0.0,0.7270833333333334
S1_resample,20,11,16,0.6675198888387922,0.0,0.7875
S1_resample,20,14,17,0.661576114654847,0.041666666666666664,0.7374999999999999
S1_resample,20,13,18,0.6577616262212358,0.08333333333333333,0.8666666666666666
S1_resample,20,12,19,0.6553272892788113,0.041666666666666664,0.6833333333333335
S1_resample,20,11,20,0.680727132084599,0.0,0.7520833333333332
S1_resample,20,14,21,0.5981225611786917,0.3333333333333333,0.7354166666666666
S1_resample,20,14,22,0.5839047303214079,0.375,0.775
S1_resample,20,12,23,0.7160980750597441,0.0,0.8229166666666666
S1_resample,20,13,24,0.6925333159520544,0.041666666666666664,0.80625
S1_resample,20,11,25,0.7056869219514066,0.0,0.7979166666666666
S1_resample,20,10,26,0.6304693322013335,0.0,0.6416666666666666
S1_resample,20,13,27,0.6676131018220269,0.0,0.7729166666666666
S1_resample,20,13,28,0.6906483513632681,0.0,0.7687499999999999
S1_resample,20,17,29,0.6829321329180086,0.0,0.7604166666666666
S1_resample,20,11,30,0.6381725470832487,0.041666666666666664,0.7791666666666667
S1_resample,20,13,31,0.7026012179216985,0.0,0.7770833333333332
S1_resample,20,13,32,0.6501770539137558,0.0,0.75
S1_resample,20,11,33,0.6093517711232637,0.375,0.7333333333333334
S1_resample,20,13,34,0.649262611667763,0.041666666666666664,0.7291666666666666
S1_resample,20,11,35,0.6115413797066874,0.3333333333333333,0.7291666666666666
S1_resample,20,12,36,0.6164202616443898,0.0,0.7270833333333332
S1_resample,20,16,37,0.6228427438418304,0.0,0.7604166666666666
S1_resample,20,10,38,0.6830474226359761,0.041666666666666664,0.7354166666666666
S1_resample,20,13,39,0.5750130094396635,0.375,0.7312500000000001
S1_resample,20,14,40,0.6575016210345251,0.0,0.7062500000000002
S1_resample,20,12,41,0.6870560533404779,0.0,0.8583333333333334
S1_resample,20,15,42,0.7060277722638801,0.0,0.7937500000000001
S1_resample,20,15,43,0.6924381505821188,0.0,0.7687499999999998
S1_resample,20,15,44,0.6889882150568032,0.041666666666666664,0.7833333333333332
S1_resample,20,12,45,0.681828021844676,0.041666666666666664,0.7916666666666666
S1_resample,20,12,46,0.6638448991049363,0.0,0.74375
S1_resample,20,10,47,0.68306585618578,0.0,0.75
S1_resample,20,15,48,0.6823871813611997,0.041666666666666664,0.7937499999999998
S1_resample,20,13,49,0.6715808250501605,0.0,0.7770833333333332
S1_resample,20,10,50,0.6640780566315051,0.08333333333333333,0.8458333333333332
S1_resample,20,12,51,0.6338841663792758,0.041666666666666664,0.725
S1_resample,20,14,52,0.6650412899674354,0.0,0.7541666666666668
S1_resample,20,12,53,0.6509152369061667,0.0,0.7645833333333334
S1_resample,20,10,54,0.6873185408707768,0.041666666666666664,0.8208333333333332
S1_resample,20,14,55,0.704270861921691,0.0,0.8166666666666668
S1_resample,20,11,56,0.5816598661987938,0.625,0.9166666666666666
S1_resample,20,14,57,0.6121638768251279,0.375,0.7666666666666666
S1_resample,20,14,58,0.6695684110392603,0.0,0.7125
S1_resample,20,12,59,0.6242165642667264,0.041666666666666664,0.7583333333333334
S1_resample,20,11,60,0.7030637540688388,0.041666666666666664,0.7854166666666668
S1_resample,20,13,61,0.6913228701466223,0.0,0.7687499999999999
