dataset,run,window_sec,held_out,feature_group,scheme,n_train_windows,delta,condition_number,threshold,inflation_ratio,fp,n_windows,fp_rate
IMS 1st_test,1st_test,0.5,2003.10.22.12.39.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.27926740810628,2.3566343248856505,0.081016449467559,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,RMS + kurtosis (control),empirical,33,0.0,56279.3378339027,2.402859867802597,0.5576620777432867,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0526,36.979897080983285,1.9318442150424675,0.3124509285112524,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.82617437163776,1.9159388091121048,0.3143128811160453,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,RMS + centroid (problem),empirical,33,0.0,1443567756.030306,2.527119358874819,0.8206179840858502,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.1124,16.800758960650196,2.432761478705726,0.3180268584268632,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999321126472,2.375347346655876,0.31802691730084787,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,crest + centroid (counterexample),empirical,33,0.0,6082.069943978063,2.6519187104838418,0.7119866062065808,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.1124,16.74505986042757,2.433177016000056,0.32026720019706956,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.44.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.41451397754402,2.3774321266798486,0.3309608947927741,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,RMS + kurtosis (control),empirical,33,0.0,48992.85772398872,2.3984864914634163,0.34693544059532844,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0558,34.844087747490185,1.9451242074483863,0.4129742427507735,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.80037422794022,1.9275961282066734,0.4129501689026938,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,RMS + centroid (problem),empirical,33,0.0,1290348402.037534,2.4486427982458348,0.42593264241285717,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.115,16.396028535702527,2.4362587000885676,0.400203101894036,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999240515257,2.3771144035040868,0.400203104088554,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,crest + centroid (counterexample),empirical,33,0.0,5463.013546211731,2.6766930575830545,0.6319541405331937,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.115,16.336718816775488,2.4369087846702095,0.400193010336365,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.49.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.2380481603331,2.380608502570677,0.40013871954062274,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.54.13.txt,RMS + kurtosis (control),empirical,33,0.0,43595.97934742064,2.43826745062589,0.6547281243491755,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.54.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0559,34.73621000209959,1.961324395276521,0.8253537333439985,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.54.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.77571793953535,1.9439220380345366,0.8251543114470886,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.54.13.txt,RMS + centroid (problem),empirical,33,0.0,1366202184.5366797,2.506626019584971,0.16187565377059696,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.54.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.113,16.699637348161275,2.4028438340006057,0.08366483437274169,0,3,0.0
