cfg,val_fp,val_pct_mean,test_fp,test_pct_mean,test_pct_max,test_pct_q90,n_tied_at_min,seconds,design,method,replicate,fit_files,val_files,test_files,test_windows
"(200, 0.8)",0.047619047619047616,0.5296404275996114,0.07142857142857142,0.6661807580174927,1.0,0.9734693877551021,5,1.081446799999867,A,forest,41,7,3,2,14
"(200, 0.5)",0.0,0.4907677356656948,0.0,0.6486880466472303,0.9591836734693877,0.8775510204081632,6,1.0217995999996674,A,forest,42,7,3,2,14
"(200, 0.5)",0.0,0.512147716229349,0.07142857142857142,0.6618075801749271,0.9795918367346939,0.9326530612244899,6,1.0680564999997841,A,forest,43,7,3,2,14
"(200, 0.5)",0.0,0.402332361516035,0.0,0.607871720116618,0.9795918367346939,0.9387755102040817,4,1.0760746000000836,A,forest,44,7,3,2,14
"(200, 0.5)",0.0,0.6656948493683187,0.0,0.6778425655976675,0.9387755102040817,0.9326530612244899,6,1.0654726000002483,A,forest,45,7,3,2,14
"(200, 0.5)",0.0,0.662779397473275,0.0,0.6982507288629739,0.9387755102040817,0.9387755102040817,5,1.0422452999996494,A,forest,46,7,3,2,14
"(200, 0.5)",0.09523809523809523,0.6793002915451896,0.07142857142857142,0.6880466472303207,1.0,0.9183673469387755,4,1.0678501000002143,A,forest,47,7,3,2,14
"(100, 0.5)",0.0,0.6880466472303206,0.0,0.6661807580174928,0.9387755102040817,0.9183673469387755,1,1.0566223999999238,A,forest,48,7,3,2,14
"(200, 0.5)",0.0,0.48299319727891143,0.07142857142857142,0.6239067055393586,0.9795918367346939,0.9122448979591837,6,1.078274699999838,A,forest,49,7,3,2,14
"(200, 0.5)",0.09523809523809523,0.6171039844509233,0.07142857142857142,0.6793002915451896,1.0,0.9469387755102041,3,1.041438400000061,A,forest,50,7,3,2,14
"(200, 0.5)",0.0,0.5053449951409136,0.07142857142857142,0.6399416909620992,1.0,0.9591836734693877,6,1.0567161999997552,A,forest,51,7,3,2,14
"(100, 0.5)",0.0,0.6268221574344024,0.07142857142857142,0.6749271137026239,0.9795918367346939,0.9469387755102041,2,1.0696571999997104,A,forest,52,7,3,2,14
"(200, 0.5)",0.0,0.3751214771622935,0.07142857142857142,0.6005830903790088,0.9795918367346939,0.9,6,1.0539849000001595,A,forest,53,7,3,2,14
"(200, 0.5)",0.0,0.6326530612244898,0.0,0.6326530612244898,0.9387755102040817,0.9204081632653062,3,1.051550799999859,A,forest,54,7,3,2,14
"(100, 1.0)",0.0,0.5247813411078718,0.07142857142857142,0.685131195335277,1.0,0.9591836734693877,1,1.071840400000383,A,forest,55,7,3,2,14
"(200, 0.5)",0.0,0.4373177842565598,0.07142857142857142,0.6049562682215744,0.9795918367346939,0.9142857142857144,6,1.0859393999999156,A,forest,56,7,3,2,14
"(200, 0.5)",0.0,0.5170068027210885,0.07142857142857142,0.6661807580174928,0.9795918367346939,0.9122448979591837,6,1.0474633999997423,A,forest,57,7,3,2,14
"(200, 0.8)",0.0,0.6025267249757046,0.0,0.6705539358600582,0.9795918367346939,0.9469387755102041,4,1.0670882000003985,A,forest,58,7,3,2,14
"(200, 0.5)",0.0,0.4392614188532556,0.07142857142857142,0.6341107871720117,1.0,0.9734693877551021,6,1.0963408000002346,A,forest,59,7,3,2,14
"(200, 0.5)",0.0,0.5208940719144801,0.0,0.6676384839650147,0.9795918367346939,0.9387755102040817,4,1.0684671000003618,A,forest,60,7,3,2,14
