n_train,n_train_actual,repeat,threshold,test_fp,test_pct_mean,variant
40,40,42,0.6022291093468933,0.0,0.6553571428571427,V1_window
40,40,43,0.5987250787276951,0.0,0.6660714285714286,V1_window
40,40,44,0.6034825834127995,0.07142857142857142,0.6857142857142858,V1_window
40,40,45,0.62661143211588,0.0,0.6892857142857142,V1_window
40,40,46,0.6225641610373085,0.0,0.6946428571428572,V1_window
40,40,47,0.6160544072996457,0.07142857142857142,0.7178571428571429,V1_window
40,40,48,0.5984589070139481,0.0,0.6607142857142856,V1_window
40,40,49,0.5957392270229835,0.0,0.6071428571428571,V1_window
40,40,50,0.5926976851014918,0.07142857142857142,0.6857142857142857,V1_window
40,40,51,0.5959290496004845,0.07142857142857142,0.6749999999999999,V1_window
40,40,52,0.5905844867048875,0.07142857142857142,0.630357142857143,V1_window
40,40,53,0.5783856520297554,0.14285714285714285,0.6499999999999998,V1_window
40,40,54,0.6761113429699992,0.0,0.7660714285714284,V1_window
40,40,55,0.5881012233280655,0.07142857142857142,0.7089285714285714,V1_window
40,40,56,0.5770374753272198,0.07142857142857142,0.6535714285714286,V1_window
40,40,57,0.6147284313057615,0.0,0.6303571428571428,V1_window
40,40,58,0.5905216329793426,0.21428571428571427,0.675,V1_window
40,40,59,0.6261138255590998,0.0,0.7339285714285715,V1_window
40,40,60,0.6009258200729354,0.07142857142857142,0.6660714285714285,V1_window
40,40,61,0.6336875944043517,0.0,0.7482142857142857,V1_window
40,40,62,0.5937743185841085,0.07142857142857142,0.6267857142857142,V1_window
40,40,63,0.5959941447183296,0.07142857142857142,0.7017857142857142,V1_window
40,40,64,0.5962521240723947,0.14285714285714285,0.6857142857142856,V1_window
40,40,65,0.6045372160356582,0.0,0.65,V1_window
40,40,66,0.5715914939719847,0.14285714285714285,0.7267857142857143,V1_window
40,40,67,0.5852684054910539,0.07142857142857142,0.630357142857143,V1_window
40,40,68,0.604706297108073,0.14285714285714285,0.7267857142857144,V1_window
40,40,69,0.6097339649798873,0.0,0.6785714285714286,V1_window
40,40,70,0.5829635090979229,0.07142857142857142,0.6464285714285714,V1_window
40,40,71,0.5937346401129854,0.0,0.625,V1_window
40,40,72,0.5876569004022797,0.0,0.6589285714285715,V1_window
40,40,73,0.601379245859592,0.0,0.6500000000000001,V1_window
40,40,74,0.5854367767665677,0.07142857142857142,0.6232142857142857,V1_window
40,40,75,0.5959433277705612,0.14285714285714285,0.6678571428571428,V1_window
40,40,76,0.6059735530271546,0.0,0.6678571428571429,V1_window
40,40,77,0.6017296523403326,0.0,0.6803571428571429,V1_window
40,40,78,0.6043387200599312,0.0,0.6696428571428571,V1_window
40,40,79,0.5857821097755188,0.07142857142857142,0.6767857142857141,V1_window
40,40,80,0.6079527082925872,0.07142857142857142,0.6660714285714285,V1_window
40,40,81,0.5919751554839787,0.07142857142857142,0.6535714285714286,V1_window
40,40,82,0.5893683642700394,0.14285714285714285,0.7,V1_window
40,40,83,0.596018949147444,0.07142857142857142,0.7089285714285714,V1_window
40,40,84,0.6146200433270217,0.0,0.6946428571428572,V1_window
40,40,85,0.6113181291935146,0.0,0.6785714285714285,V1_window
40,40,86,0.5936754141069712,0.0,0.6500000000000001,V1_window
40,40,87,0.6046542357405799,0.0,0.6624999999999999,V1_window
40,40,88,0.5859481752573351,0.0,0.6017857142857144,V1_window
40,40,89,0.5851606480489967,0.07142857142857142,0.5839285714285714,V1_window
40,40,90,0.6101190547186393,0.0,0.6857142857142858,V1_window
40,40,91,0.6112984868916447,0.0,0.6321428571428571,V1_window
40,40,92,0.6014047832561207,0.07142857142857142,0.6625,V1_window
40,40,93,0.5754178124813764,0.0,0.6232142857142857,V1_window
40,40,94,0.5876030401253779,0.0,0.6214285714285716,V1_window
40,40,95,0.6113781234351156,0.0,0.6875,V1_window
