regime,fold,arm,n_train,k_bearings,repeat,test_fp
R1_within_bearing,all,S1_resample,40,,98,0.0
R1_within_bearing,all,S1_resample,40,,99,0.0
R1_within_bearing,all,S1_resample,60,,0,0.041666666666666664
R1_within_bearing,all,S1_resample,60,,1,0.0
R1_within_bearing,all,S1_resample,60,,2,0.0
R1_within_bearing,all,S1_resample,60,,3,0.0
R1_within_bearing,all,S1_resample,60,,4,0.0
R1_within_bearing,all,S1_resample,60,,5,0.0
R1_within_bearing,all,S1_resample,60,,6,0.0
R1_within_bearing,all,S1_resample,60,,7,0.0
R1_within_bearing,all,S1_resample,60,,8,0.0
R1_within_bearing,all,S1_resample,60,,9,0.0
R1_within_bearing,all,S1_resample,60,,10,0.0
R1_within_bearing,all,S1_resample,60,,11,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,12,0.0
R1_within_bearing,all,S1_resample,60,,13,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,14,0.0
R1_within_bearing,all,S1_resample,60,,15,0.0
R1_within_bearing,all,S1_resample,60,,16,0.0
R1_within_bearing,all,S1_resample,60,,17,0.0
R1_within_bearing,all,S1_resample,60,,18,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,19,0.041666666666666664
R1_within_bearing,all,S1_resample,60,,20,0.0
R1_within_bearing,all,S1_resample,60,,21,0.0
R1_within_bearing,all,S1_resample,60,,22,0.0
R1_within_bearing,all,S1_resample,60,,23,0.0
R1_within_bearing,all,S1_resample,60,,24,0.0
R1_within_bearing,all,S1_resample,60,,25,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,26,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,27,0.0
R1_within_bearing,all,S1_resample,60,,28,0.0
R1_within_bearing,all,S1_resample,60,,29,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,30,0.0
R1_within_bearing,all,S1_resample,60,,31,0.0
R1_within_bearing,all,S1_resample,60,,32,0.0
R1_within_bearing,all,S1_resample,60,,33,0.0
R1_within_bearing,all,S1_resample,60,,34,0.0
R1_within_bearing,all,S1_resample,60,,35,0.0
R1_within_bearing,all,S1_resample,60,,36,0.0
R1_within_bearing,all,S1_resample,60,,37,0.0
R1_within_bearing,all,S1_resample,60,,38,0.0
R1_within_bearing,all,S1_resample,60,,39,0.0
R1_within_bearing,all,S1_resample,60,,40,0.0
R1_within_bearing,all,S1_resample,60,,41,0.0
R1_within_bearing,all,S1_resample,60,,42,0.0
R1_within_bearing,all,S1_resample,60,,43,0.0
R1_within_bearing,all,S1_resample,60,,44,0.0
R1_within_bearing,all,S1_resample,60,,45,0.0
R1_within_bearing,all,S1_resample,60,,46,0.0
R1_within_bearing,all,S1_resample,60,,47,0.0
R1_within_bearing,all,S1_resample,60,,48,0.0
R1_within_bearing,all,S1_resample,60,,49,0.0
R1_within_bearing,all,S1_resample,60,,50,0.0
R1_within_bearing,all,S1_resample,60,,51,0.0
R1_within_bearing,all,S1_resample,60,,52,0.0
R1_within_bearing,all,S1_resample,60,,53,0.0
R1_within_bearing,all,S1_resample,60,,54,0.0
R1_within_bearing,all,S1_resample,60,,55,0.0
R1_within_bearing,all,S1_resample,60,,56,0.0
R1_within_bearing,all,S1_resample,60,,57,0.0
R1_within_bearing,all,S1_resample,60,,58,0.0
R1_within_bearing,all,S1_resample,60,,59,0.0
R1_within_bearing,all,S1_resample,60,,60,0.0
R1_within_bearing,all,S1_resample,60,,61,0.0
R1_within_bearing,all,S1_resample,60,,62,0.0
R1_within_bearing,all,S1_resample,60,,63,0.041666666666666664
R1_within_bearing,all,S1_resample,60,,64,0.0
R1_within_bearing,all,S1_resample,60,,65,0.0
R1_within_bearing,all,S1_resample,60,,66,0.0
R1_within_bearing,all,S1_resample,60,,67,0.0
R1_within_bearing,all,S1_resample,60,,68,0.0
R1_within_bearing,all,S1_resample,60,,69,0.0
R1_within_bearing,all,S1_resample,60,,70,0.0
R1_within_bearing,all,S1_resample,60,,71,0.0
R1_within_bearing,all,S1_resample,60,,72,0.0
R1_within_bearing,all,S1_resample,60,,73,0.0
R1_within_bearing,all,S1_resample,60,,74,0.0
R1_within_bearing,all,S1_resample,60,,75,0.0
R1_within_bearing,all,S1_resample,60,,76,0.0
R1_within_bearing,all,S1_resample,60,,77,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,78,0.0
R1_within_bearing,all,S1_resample,60,,79,0.0
R1_within_bearing,all,S1_resample,60,,80,0.0
R1_within_bearing,all,S1_resample,60,,81,0.0
R1_within_bearing,all,S1_resample,60,,82,0.0
R1_within_bearing,all,S1_resample,60,,83,0.0
R1_within_bearing,all,S1_resample,60,,84,0.0
R1_within_bearing,all,S1_resample,60,,85,0.0
R1_within_bearing,all,S1_resample,60,,86,0.0
R1_within_bearing,all,S1_resample,60,,87,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,88,0.0
R1_within_bearing,all,S1_resample,60,,89,0.0
R1_within_bearing,all,S1_resample,60,,90,0.0
R1_within_bearing,all,S1_resample,60,,91,0.0
R1_within_bearing,all,S1_resample,60,,92,0.0
R1_within_bearing,all,S1_resample,60,,93,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,94,0.0
R1_within_bearing,all,S1_resample,60,,95,0.3333333333333333
R1_within_bearing,all,S1_resample,60,,96,0.0
R1_within_bearing,all,S1_resample,60,,97,0.375
R1_within_bearing,all,S1_resample,60,,98,0.0
R1_within_bearing,all,S1_resample,60,,99,0.0
R1_within_bearing,all,S1_resample,80,,0,0.0
R1_within_bearing,all,S1_resample,80,,1,0.0
R1_within_bearing,all,S1_resample,80,,2,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,3,0.041666666666666664
R1_within_bearing,all,S1_resample,80,,4,0.0
R1_within_bearing,all,S1_resample,80,,5,0.0
R1_within_bearing,all,S1_resample,80,,6,0.0
R1_within_bearing,all,S1_resample,80,,7,0.0
R1_within_bearing,all,S1_resample,80,,8,0.0
R1_within_bearing,all,S1_resample,80,,9,0.0
R1_within_bearing,all,S1_resample,80,,10,0.0
R1_within_bearing,all,S1_resample,80,,11,0.0
R1_within_bearing,all,S1_resample,80,,12,0.0
R1_within_bearing,all,S1_resample,80,,13,0.0
R1_within_bearing,all,S1_resample,80,,14,0.0
R1_within_bearing,all,S1_resample,80,,15,0.0
R1_within_bearing,all,S1_resample,80,,16,0.0
R1_within_bearing,all,S1_resample,80,,17,0.0
R1_within_bearing,all,S1_resample,80,,18,0.0
R1_within_bearing,all,S1_resample,80,,19,0.0
R1_within_bearing,all,S1_resample,80,,20,0.0
R1_within_bearing,all,S1_resample,80,,21,0.0
R1_within_bearing,all,S1_resample,80,,22,0.0
R1_within_bearing,all,S1_resample,80,,23,0.0
R1_within_bearing,all,S1_resample,80,,24,0.0
R1_within_bearing,all,S1_resample,80,,25,0.0
R1_within_bearing,all,S1_resample,80,,26,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,27,0.0
R1_within_bearing,all,S1_resample,80,,28,0.0
R1_within_bearing,all,S1_resample,80,,29,0.0
R1_within_bearing,all,S1_resample,80,,30,0.0
R1_within_bearing,all,S1_resample,80,,31,0.0
R1_within_bearing,all,S1_resample,80,,32,0.0
R1_within_bearing,all,S1_resample,80,,33,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,34,0.0
R1_within_bearing,all,S1_resample,80,,35,0.0
R1_within_bearing,all,S1_resample,80,,36,0.0
R1_within_bearing,all,S1_resample,80,,37,0.0
R1_within_bearing,all,S1_resample,80,,38,0.0
R1_within_bearing,all,S1_resample,80,,39,0.0
R1_within_bearing,all,S1_resample,80,,40,0.0
R1_within_bearing,all,S1_resample,80,,41,0.0
R1_within_bearing,all,S1_resample,80,,42,0.375
R1_within_bearing,all,S1_resample,80,,43,0.0
R1_within_bearing,all,S1_resample,80,,44,0.0
R1_within_bearing,all,S1_resample,80,,45,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,46,0.0
R1_within_bearing,all,S1_resample,80,,47,0.0
R1_within_bearing,all,S1_resample,80,,48,0.0
R1_within_bearing,all,S1_resample,80,,49,0.0
R1_within_bearing,all,S1_resample,80,,50,0.0
R1_within_bearing,all,S1_resample,80,,51,0.0
R1_within_bearing,all,S1_resample,80,,52,0.0
R1_within_bearing,all,S1_resample,80,,53,0.0
R1_within_bearing,all,S1_resample,80,,54,0.0
R1_within_bearing,all,S1_resample,80,,55,0.0
R1_within_bearing,all,S1_resample,80,,56,0.0
R1_within_bearing,all,S1_resample,80,,57,0.0
R1_within_bearing,all,S1_resample,80,,58,0.0
R1_within_bearing,all,S1_resample,80,,59,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,60,0.375
R1_within_bearing,all,S1_resample,80,,61,0.0
R1_within_bearing,all,S1_resample,80,,62,0.0
R1_within_bearing,all,S1_resample,80,,63,0.0
R1_within_bearing,all,S1_resample,80,,64,0.0
R1_within_bearing,all,S1_resample,80,,65,0.0
R1_within_bearing,all,S1_resample,80,,66,0.0
R1_within_bearing,all,S1_resample,80,,67,0.0
R1_within_bearing,all,S1_resample,80,,68,0.0
R1_within_bearing,all,S1_resample,80,,69,0.0
R1_within_bearing,all,S1_resample,80,,70,0.0
R1_within_bearing,all,S1_resample,80,,71,0.0
R1_within_bearing,all,S1_resample,80,,72,0.0
R1_within_bearing,all,S1_resample,80,,73,0.0
R1_within_bearing,all,S1_resample,80,,74,0.0
R1_within_bearing,all,S1_resample,80,,75,0.0
R1_within_bearing,all,S1_resample,80,,76,0.0
R1_within_bearing,all,S1_resample,80,,77,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,78,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,79,0.0
R1_within_bearing,all,S1_resample,80,,80,0.0
R1_within_bearing,all,S1_resample,80,,81,0.0
R1_within_bearing,all,S1_resample,80,,82,0.0
R1_within_bearing,all,S1_resample,80,,83,0.0
R1_within_bearing,all,S1_resample,80,,84,0.0
R1_within_bearing,all,S1_resample,80,,85,0.0
R1_within_bearing,all,S1_resample,80,,86,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,87,0.041666666666666664
R1_within_bearing,all,S1_resample,80,,88,0.041666666666666664
R1_within_bearing,all,S1_resample,80,,89,0.0
R1_within_bearing,all,S1_resample,80,,90,0.0
R1_within_bearing,all,S1_resample,80,,91,0.0
R1_within_bearing,all,S1_resample,80,,92,0.0
R1_within_bearing,all,S1_resample,80,,93,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,94,0.3333333333333333
R1_within_bearing,all,S1_resample,80,,95,0.0
R1_within_bearing,all,S1_resample,80,,96,0.0
R1_within_bearing,all,S1_resample,80,,97,0.0
R1_within_bearing,all,S1_resample,80,,98,0.0
R1_within_bearing,all,S1_resample,80,,99,0.0
R1_within_bearing,all,S1_resample,96,,0,0.0
R1_within_bearing,all,S1_resample,96,,1,0.0
R1_within_bearing,all,S1_resample,96,,2,0.0
R1_within_bearing,all,S1_resample,96,,3,0.0
R1_within_bearing,all,S1_resample,96,,4,0.0
R1_within_bearing,all,S1_resample,96,,5,0.0
R1_within_bearing,all,S1_resample,96,,6,0.3333333333333333
R1_within_bearing,all,S1_resample,96,,7,0.0
R1_within_bearing,all,S1_resample,96,,8,0.0
R1_within_bearing,all,S1_resample,96,,9,0.0
R1_within_bearing,all,S1_resample,96,,10,0.0
R1_within_bearing,all,S1_resample,96,,11,0.0
R1_within_bearing,all,S1_resample,96,,12,0.0
R1_within_bearing,all,S1_resample,96,,13,0.0
R1_within_bearing,all,S1_resample,96,,14,0.375
R1_within_bearing,all,S1_resample,96,,15,0.3333333333333333
R1_within_bearing,all,S1_resample,96,,16,0.0
