arm,held_out,n_train,k_bearings,test_fp,dataset,rule
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.05,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.08333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.05,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.16666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.2,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_3,16,16,0.05,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.1,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.11666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.06666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.4,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.31666666666666665,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.95,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.4666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.43333333333333335,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.25,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.2,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.2,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_4,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.13333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.26666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
