dataset,condition,held_out,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_2,3,18,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,3,18,0.05
PRONOSTIA,C1,Bearing1_2,3,18,0.25
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.1
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.0
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.05
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,3,18,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,3,18,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.18333333333333332
PRONOSTIA,C1,Bearing1_2,4,20,0.1
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.0
PRONOSTIA,C1,Bearing1_2,4,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,4,20,0.0
PRONOSTIA,C1,Bearing1_2,4,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.0
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.1
PRONOSTIA,C1,Bearing1_2,4,20,0.0
PRONOSTIA,C1,Bearing1_2,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,4,20,0.0
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.15
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,4,20,0.05
PRONOSTIA,C1,Bearing1_2,4,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.0
PRONOSTIA,C1,Bearing1_3,1,20,0.6166666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.5333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.11666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.5666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.26666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.11666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.35
PRONOSTIA,C1,Bearing1_3,1,20,0.18333333333333332
PRONOSTIA,C1,Bearing1_3,1,20,0.2
PRONOSTIA,C1,Bearing1_3,1,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.2833333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.6166666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.23333333333333334
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.23333333333333334
PRONOSTIA,C1,Bearing1_3,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.0
PRONOSTIA,C1,Bearing1_3,1,20,0.15
PRONOSTIA,C1,Bearing1_3,1,20,0.05
PRONOSTIA,C1,Bearing1_3,1,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.1
PRONOSTIA,C1,Bearing1_3,1,20,0.7166666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.4166666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.0
PRONOSTIA,C1,Bearing1_3,1,20,0.25
PRONOSTIA,C1,Bearing1_3,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.0
PRONOSTIA,C1,Bearing1_3,1,20,0.35
PRONOSTIA,C1,Bearing1_3,1,20,0.26666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.6166666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.21666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.23333333333333334
PRONOSTIA,C1,Bearing1_3,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_3,1,20,0.21666666666666667
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.05
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
