dataset,condition,held_out,detector,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8333333333333334
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.38333333333333336
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.85
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.75
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.9666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.11666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.5333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.4166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.9333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.95
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.5333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.6
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.6833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.6166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.11666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.75
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.9333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.75
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.5333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.11666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.6333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.3333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.6
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.05
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.6833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.25
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.95
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.9
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.6833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.3
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.85
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.6833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.65
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8166666666666667
